n_day,cumul_low_bound,cumul_upper_bound
98,5146.102136015325,8041.5786111111065
99,5226.490589080459,8123.635535714281
100,5306.879042145593,8205.692460317456
101,5387.267495210728,8287.74938492063
102,5467.655948275862,8369.806309523803
103,5548.044401340996,8451.863234126977
104,5628.43285440613,8533.920158730152
105,5708.821307471264,8615.977083333326
106,5789.209760536399,8698.0340079365
107,5869.598213601533,8780.090932539675
108,5949.986666666667,8862.147857142849
109,6030.3751197318015,8944.204781746022
110,6110.763572796936,9026.261706349196
111,6191.152025862071,9108.31863095237
112,6271.540478927205,9190.375555555545
113,6351.92893199234,9272.432480158719
114,6432.317385057475,9354.489404761893
115,6512.705838122609,9436.546329365068
116,6593.094291187743,9518.603253968242
117,6673.482744252878,9600.660178571416
118,6753.8711973180125,9682.71710317459
119,6834.259650383146,9764.774027777763
120,6914.64810344828,9846.830952380938
121,6995.036556513415,9928.887876984112
122,7075.42500957855,10010.944801587288
123,7155.813462643684,10093.001726190461
124,7236.201915708818,10175.058650793635
125,7316.590368773953,10257.11557539681
126,7350.261618773953,10339.172499999986
127,7383.932868773953,10421.22942460316
128,7417.604118773952,10503.286349206333
129,7451.275368773952,10585.343273809509
130,7484.946618773953,10667.400198412684
131,7518.617868773952,10749.457123015858
132,7552.2891187739515,10831.514047619032
133,7585.960368773952,10913.570972222207
134,7619.631618773952,10995.627896825383
135,7653.302868773952,11077.684821428556
136,7686.974118773951,11159.74174603173
137,7767.362571839086,11241.798670634906
138,7847.751024904221,11323.855595238081
139,7928.139477969355,11405.912519841255
140,8008.527931034489,11487.969444444429
141,8088.916384099623,11570.026369047604
142,8169.304837164758,11652.08329365078
143,8249.693290229892,11734.140218253953
144,8330.081743295026,11816.197142857127
145,8410.470196360162,11898.254067460302
146,8490.858649425296,11980.310992063478
147,8571.24710249043,12062.367916666652
148,8651.635555555564,12144.424841269825
149,8732.024008620698,12226.481765873
150,8812.412461685833,12308.538690476176
151,8892.800914750967,12390.59561507935
152,8973.189367816101,12472.652539682524
153,9053.577820881237,12554.7094642857
154,9133.966273946371,12636.766388888875
155,9214.354727011505,12718.823313492048
156,9294.743180076639,12800.880238095222
157,9375.131633141773,12882.937162698398
158,9455.520086206909,12964.994087301573
159,9535.908539272043,13047.051011904747
160,9616.296992337177,13129.10793650792
161,9696.685445402312,13211.164861111096
162,9777.073898467446,13293.221785714271
163,9857.46235153258,13375.278710317445
164,9937.850804597714,13457.335634920619
165,10018.239257662848,13539.392559523794
166,10098.627710727984,13621.44948412697
167,10179.016163793118,13703.506408730143
168,10259.404616858252,13785.563333333317
169,10339.793069923388,13867.620257936493
170,10420.181522988521,13949.677182539668
171,10500.569976053655,14031.734107142842
172,10580.95842911879,14113.791031746016
173,10661.346882183923,14195.847956349191
174,10741.735335249059,14277.904880952367
175,10822.123788314195,14359.96180555554
176,10902.512241379329,14442.018730158714
177,10982.900694444463,14524.07565476189
178,11063.289147509598,14606.132579365065
179,11143.677600574734,14688.189503968239
180,11224.066053639868,14770.246428571412
181,11304.454506705002,14852.303353174588
182,11384.842959770138,14934.360277777763
183,11465.231412835274,15016.417202380937
184,11545.619865900408,15098.47412698411
185,11626.008318965542,15180.531051587286
186,11706.396772030677,15262.587976190462
187,11786.785225095813,15344.644900793635
188,11867.173678160947,15426.701825396809
189,11900.844928160946,15508.758749999985
190,11934.516178160948,15590.81567460316
191,11968.187428160949,15672.872599206334
192,12001.858678160948,15754.929523809507
193,12035.529928160948,15836.986448412683
194,12069.201178160949,15919.043373015858
195,12102.87242816095,16001.100297619032
196,12136.54367816095,16083.157222222206
197,12170.214928160949,16165.214146825381
198,12203.88617816095,16247.271071428557
199,12237.557428160952,16329.32799603173
200,12271.228678160951,16411.384920634904
201,12351.617131226085,16493.441845238078
202,12432.00558429122,16575.498769841255
203,12512.394037356356,16657.55569444443
204,12592.78249042149,16739.612619047602
205,12673.170943486624,16821.66954365078
206,12753.55939655176,16903.726468253953
207,12833.947849616896,16985.783392857127
208,12914.33630268203,17067.8403174603
209,12994.724755747164,17149.897242063475
210,13075.1132088123,17231.954166666652
211,13155.501661877435,17314.011091269826
212,13235.89011494257,17396.068015873
213,13316.278568007703,17478.124940476177
214,13396.667021072839,17560.18186507935
215,13477.055474137975,17642.238789682524
216,13557.443927203109,17724.295714285698
217,13637.832380268243,17806.35263888887
218,13718.220833333378,17888.40956349205
219,13798.609286398514,17970.466488095222
220,13878.997739463648,18052.523412698396
221,13959.386192528782,18134.580337301573
222,14039.774645593916,18168.251587301573
223,14120.163098659052,18201.922837301572
224,14200.551551724187,18235.59408730157
225,14280.940004789321,18269.26533730157
226,14361.328457854455,18302.936587301574
227,14441.716910919591,18336.607837301573
228,14522.105363984727,18370.279087301573
229,14602.49381704986,18403.950337301576
230,14682.882270114995,18437.621587301575
231,14763.27072318013,18471.292837301575
232,14843.659176245266,18504.964087301574
